"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDMV","WESD","WESF"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-06","1.3","-17.8","-17.8","0.0","0.0","0.0",,"16.1","1.7","39.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-07","1.3","-17.8","-17.8","0.0","0.0","0.0",,"13.9","2.8","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-08","2.5","-17.8","-17.8","3.6","0.0","0.0",,"10.0","1.7","27.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-09","1.5","-17.8","-17.8","0.3","0.0","0.0",,"10.0","-0.6","39.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-10","1.3",,,"0.0","0.0","0.0",,"11.1","1.7","43.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-11","0.8",,,"0.0","0.0","0.0",,"13.3","0.0","71.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-12","0.5","-17.8","-17.8","0.3","0.0","0.0",,"13.9","1.1","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-13","0.8","-17.8","-17.8","0.0","0.0","0.0",,"15.6","3.9","3.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-14","4.1",,,"0.0","0.0","0.0",,"17.2","5.0","101.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-15","0.5","-17.8","-17.8","0.0","0.0","0.0",,"19.4","5.6","40.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-16","4.1",,,"0.0",,,,"22.8","5.6","51.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-17","5.6","-17.8","-17.8","0.0","0.0","0.0",,"20.6","6.7","56.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-18","0.8","-17.8","-17.8","0.0","0.0","0.0",,"19.4","5.6","16.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-19","1.0","-17.8","-17.8","0.0","0.0","0.0",,"17.8","3.9","71.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-20","2.5","-17.8","-17.8","15.0","0.0","0.0",,"9.4","-1.1","40.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-21","0.0","-17.8","-17.8","0.5","0.0","0.0",,"11.1","1.1","35.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-22","0.8","-17.8","-17.8","0.5","0.0","0.0",,"13.9","2.2","42.0",,
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","2013-02-23","2.3","-17.8","-17.8","0.3","0.0","0.0",,"15.0","3.3",,,
