"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","EVAP","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT05","WT07","WT08","WT11","WT13","WT16"
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-13",,,,,"0.00",,,,"56","28",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-14",,,,,"0.00",,,,"57","30",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-19",,,,,"0.00",,,,"65","30",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-20",,,,,"0.00",,,,"60","29",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-25",,,,,"0.00",,,,"66","32",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-26",,,,,"0.00",,,,"68","33",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2013-12-27",,,,,"0.00",,,,"70","33",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-02-13",,,,,"0.00","0.0","0.0",,"70","35",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-02-20",,,,,"0.00","0.0","0.0",,"77","39",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-03-31",,,,,"0.00",,,,"80","44",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-01",,,,,"0.21",,,,"55","43",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-06",,,,,"0.00",,,,,,,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-07",,,,,"0.00",,,,"82","42",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-12",,,,,"0.00",,,,"79","49",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-13",,,,,"0.00",,,,"78","49",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-18",,,,,"0.00",,,,"89","50",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-19",,,,,"0.00",,,,"82","51",,,,,,,,,,,,,,
"USC00048560","STOCKTON FIRE STATION 4, CA US","37.9994","-121.3177","3.7","2014-04-25",,,,,"0.50",,,,"86","48",,,,,,,,,,,,,,
